"County","Category","Proportion","year"
"Baringo","TFR",4.8,2014
"Baringo","women aged 15-49 who are currently pregnant",7.8,2014
"Baringo","Mean number of children ever born to women aged 40-49",6.2,2014
"Baringo","TFR",4.4,2022
"Baringo","Percentage of women aged 15-49 currently pregnant",7.4,2022
"Baringo","Mean number of children for women aged 40-49",5.6,2022
"Bomet","TFR",4.3,2014
"Bomet","women aged 15-49 who are currently pregnant",5.5,2014
"Bomet","Mean number of children ever born to women aged 40-49",5.7,2014
"Bomet","TFR",3.4,2022
"Bomet","Percentage of women aged 15-49 currently pregnant",3.9,2022
"Bomet","Mean number of children for women aged 40-49",5,2022
"Bungoma","TFR",5,2014
"Bungoma","women aged 15-49 who are currently pregnant",6.2,2014
"Bungoma","Mean number of children ever born to women aged 40-49",6.9,2014
"Bungoma","TFR",3.6,2022
"Bungoma","Percentage of women aged 15-49 currently pregnant",6,2022
"Bungoma","Mean number of children for women aged 40-49",5.5,2022
"Busia","TFR",4.7,2014
"Busia","women aged 15-49 who are currently pregnant",6.8,2014
"Busia","Mean number of children ever born to women aged 40-49",6.5,2014
"Busia","TFR",3.7,2022
"Busia","Percentage of women aged 15-49 currently pregnant",6.5,2022
"Busia","Mean number of children for women aged 40-49",5.6,2022
"Elgeyo Marakwet","TFR",4.1,2014
"Elgeyo Marakwet","women aged 15-49 who are currently pregnant",5.9,2014
"Elgeyo Marakwet","Mean number of children ever born to women aged 40-49",5.8,2014
"Elgeyo Marakwet","TFR",4.1,2022
"Elgeyo Marakwet","Percentage of women aged 15-49 currently pregnant",4.5,2022
"Elgeyo Marakwet","Mean number of children for women aged 40-49",5,2022
"Embu","TFR",3.1,2014
"Embu","women aged 15-49 who are currently pregnant",4.5,2014
"Embu","Mean number of children ever born to women aged 40-49",4.1,2014
"Embu","TFR",3.1,2022
"Embu","Percentage of women aged 15-49 currently pregnant",4,2022
"Embu","Mean number of children for women aged 40-49",3.2,2022
"Garissa","TFR",6.1,2014
"Garissa","women aged 15-49 who are currently pregnant",11.7,2014
"Garissa","Mean number of children ever born to women aged 40-49",6.8,2014
"Garissa","TFR",5.3,2022
"Garissa","Percentage of women aged 15-49 currently pregnant",6.8,2022
"Garissa","Mean number of children for women aged 40-49",7.1,2022
"Homa Bay","TFR",5.2,2014
"Homa Bay","women aged 15-49 who are currently pregnant",6.4,2014
"Homa Bay","Mean number of children ever born to women aged 40-49",6.2,2014
"Homa Bay","TFR",3.7,2022
"Homa Bay","Percentage of women aged 15-49 currently pregnant",5.5,2022
"Homa Bay","Mean number of children for women aged 40-49",5.6,2022
"Isiolo","TFR",4.9,2014
"Isiolo","women aged 15-49 who are currently pregnant",6.2,2014
"Isiolo","Mean number of children ever born to women aged 40-49",6.1,2014
"Isiolo","TFR",4.5,2022
"Isiolo","Percentage of women aged 15-49 currently pregnant",5.6,2022
"Isiolo","Mean number of children for women aged 40-49",5.2,2022
"Kajiado","TFR",4.5,2014
"Kajiado","women aged 15-49 who are currently pregnant",7.7,2014
"Kajiado","Mean number of children ever born to women aged 40-49",4.3,2014
"Kajiado","TFR",3.5,2022
"Kajiado","Percentage of women aged 15-49 currently pregnant",7.5,2022
"Kajiado","Mean number of children for women aged 40-49",3.9,2022
"Kakamega","TFR",4.4,2014
"Kakamega","women aged 15-49 who are currently pregnant",7.3,2014
"Kakamega","Mean number of children ever born to women aged 40-49",5.4,2014
"Kakamega","TFR",3.7,2022
"Kakamega","Percentage of women aged 15-49 currently pregnant",5.3,2022
"Kakamega","Mean number of children for women aged 40-49",5,2022
"Kericho","TFR",4,2014
"Kericho","women aged 15-49 who are currently pregnant",5.7,2014
"Kericho","Mean number of children ever born to women aged 40-49",5,2014
"Kericho","TFR",3.2,2022
"Kericho","Percentage of women aged 15-49 currently pregnant",4.7,2022
"Kericho","Mean number of children for women aged 40-49",4.7,2022
"Kiambu","TFR",2.7,2014
"Kiambu","women aged 15-49 who are currently pregnant",5,2014
"Kiambu","Mean number of children ever born to women aged 40-49",3.6,2014
"Kiambu","TFR",2.9,2022
"Kiambu","Percentage of women aged 15-49 currently pregnant",4.6,2022
"Kiambu","Mean number of children for women aged 40-49",3.3,2022
"Kilifi","TFR",5.1,2014
"Kilifi","women aged 15-49 who are currently pregnant",7.1,2014
"Kilifi","Mean number of children ever born to women aged 40-49",6.4,2014
"Kilifi","TFR",3.4,2022
"Kilifi","Percentage of women aged 15-49 currently pregnant",6.8,2022
"Kilifi","Mean number of children for women aged 40-49",5.5,2022
"Kirinyaga","TFR",2.3,2014
"Kirinyaga","women aged 15-49 who are currently pregnant",4.1,2014
"Kirinyaga","Mean number of children ever born to women aged 40-49",3.4,2014
"Kirinyaga","TFR",2.8,2022
"Kirinyaga","Percentage of women aged 15-49 currently pregnant",4,2022
"Kirinyaga","Mean number of children for women aged 40-49",2.8,2022
"Kisii","TFR",3.7,2014
"Kisii","women aged 15-49 who are currently pregnant",5,2014
"Kisii","Mean number of children ever born to women aged 40-49",5.1,2014
"Kisii","TFR",3,2022
"Kisii","Percentage of women aged 15-49 currently pregnant",4.2,2022
"Kisii","Mean number of children for women aged 40-49",4.3,2022
